id,name,price,rating,url,img_url
28,AMD Ryzen 7 5700X3D 8-Cores 16-Threads Desktop Processor without Cooler,16250,5,https://btechcustoms.com/product/amd-ryzen-7-5700x3d-8-cores-16-threads-desktop-processor-without-cooler/,https://btechcustoms.com/wp-content/uploads/2024/07/RYZEN-5700X3D.png
29,AMD Ryzen 7 8700F 8 Cores 16 Threads DDR5 MPK,9360,5,https://btechcustoms.com/product/amd-ryzen-7-8700f-8-cores-16-threads-ddr5-mpk/,https://btechcustoms.com/wp-content/uploads/2024/10/AMD-RYZEN-7-8700F-8-CORES-16-THREADS-DDR5-TRAY-MPK.png
30,AMD Ryzen™ 7 5700X Desktop Processors (Up to 4.6GHz),10500,5,https://btechcustoms.com/product/amd-ryzen-7-5700x-desktop-processors-up-to-46ghz/,
31,AMD Ryzen™ 9 5900X Desktop Processor,22570,5,https://btechcustoms.com/product/amd-ryzen-9-5900x-desktop-processor/,https://btechcustoms.com/wp-content/uploads/2024/07/RYZEN-9-5900X.png
32,Apacer NOX RGB 16GB 8GX2 DDR4 3200MHZ Memory Module White,2700,5,https://btechcustoms.com/product/apacer-nox-rgb-16gb-8gx2-ddr4-3200mhz-memory-module-white/,https://btechcustoms.com/wp-content/uploads/2024/10/APACER-NOX-16GB-2X8GB-RGB-DDR4-3200MHZ-WHITE.png
33,Apacer NOX RGB AURA2 16GB 2x8GB 3200-16 DDR4 Memory,2700,5,https://btechcustoms.com/product/apacer-nox-rgb-aura2-16gb-2x8gb-3200-16-ddr4-memory/,https://btechcustoms.com/wp-content/uploads/2024/10/APACER-NOX-16GB-2X8GB-RGB-DDR4-3200MHZ-BLACK.png
34,ASRock | B550 Phantom Gaming 4/ac,8200,5,https://btechcustoms.com/product/asrock--b550-phantom-gaming-4ac/,
35,ASRock A620M-HDV/M.2+ Micro ATX Motherboard,6000,5,https://btechcustoms.com/product/asrock-a620m-hdvm2-micro-atx-motherboard/,
36,ASRock AMD Radeon RX 7700 XT Steel Legend 12GB OC Graphics Card,28700,5,https://btechcustoms.com/product/asrock-amd-radeon-rx-7700-xt-steel-legend-12gb-oc-graphics-card/,https://btechcustoms.com/wp-content/uploads/2024/10/ASROCK-RX7700XT-STEEL-LEGEND.png
37,Asrock B550 Pro4 Motherboard,7700,5,https://btechcustoms.com/product/asrock-b550-pro4-motherboard/,https://btechcustoms.com/wp-content/uploads/2024/10/ASROCK-B550-PRO-4-ATX.png
38,Asrock B550 Steel Legend Motherboard,9700,5,https://btechcustoms.com/product/asrock-b550-steel-legend-motherboard/,https://btechcustoms.com/wp-content/uploads/2024/09/ASROCK-B550-STEEL-LEGEND.png
39,ASRock B550M Pro 4,6500,5,https://btechcustoms.com/product/asrock-b550m-pro-4/,https://btechcustoms.com/wp-content/uploads/2024/07/B550M-Pro4.png
40,ASRock B550M Pro SE White Micro ATX Motherboard,6000,5,https://btechcustoms.com/product/asrock-b550m-pro-se-white-micro-atx-motherboard/,https://btechcustoms.com/wp-content/uploads/2024/07/ASROCK-B550-PRO-SE.png
41,ASRock B550M-ITX/ac,9200,5,https://btechcustoms.com/product/asrock-b550m-itxac/,
42,ASRock B650M PG RIPTIDE WIFI AM5 Micro-ATX Mainboard,11850,5,https://btechcustoms.com/product/asrock-b650m-pg-riptide-wifi-am5-micro-atx-mainboard/,https://btechcustoms.com/wp-content/uploads/2024/07/B650M-PG-Riptide-WiFi.png
43,ASUS Dual Radeon™ RX 6600 V3 8GB GDDR6,13999,5,https://btechcustoms.com/product/asus-dual-radeon-rx-6600-v3-8gb-gddr6/,https://btechcustoms.com/wp-content/uploads/2024/09/ASUS-DUAL-RADEON-RX6600-V3-8GB-GDDR5.png
44,Asus Phoenix Radeon RX 550 4GB GDDR5 Graphics Card (PH-RX550-4G-EVO),5900,5,https://btechcustoms.com/product/asus-phoenix-radeon-rx-550-4gb-gddr5-graphics-card-ph-rx550-4g-evo/,https://btechcustoms.com/wp-content/uploads/2024/10/ASUS-RX550-4GB-EVO.png
45,ASUS PRIME B650M-A II,8500,5,https://btechcustoms.com/product/asus-prime-b650m-a-ii/,https://btechcustoms.com/wp-content/uploads/2024/11/w328.png
46,Asus Prime B650M-A II AMD AM5 Motherboard,8500,5,https://btechcustoms.com/product/asus-prime-b650m-a-ii-amd-am5-motherboard/,https://btechcustoms.com/wp-content/uploads/2024/10/ASUS-PRIME-B650M-A-II-AM5-DDR5.png
47,Asus ROG Strix B650-A Gaming WiFi Motherboard AM5,16500,5,https://btechcustoms.com/product/asus-rog-strix-b650-a-gaming-wifi-motherboard-am5/,https://btechcustoms.com/wp-content/uploads/2024/10/ASUS-ROG-STRIX-B650-A-GAMING-WIFI-AM5-DDR5.png
48,Asus RT-AX52 AX1800 Dual Band Wifi 6 Extendable Router,2999,5,https://btechcustoms.com/product/asus-rt-ax52-ax1800-dual-band-wifi-6-extendable-router/,https://btechcustoms.com/wp-content/uploads/2024/10/ASUS-RT-AX52-AX1800-DUAL-BAND-WIFI-6-EXTENDABLE-ROUTER.png
49,be quiet! Dark Rock Pro 4 CPU Air Cooler Fan,3850,5,https://btechcustoms.com/product/be-quiet-dark-rock-pro-4-cpu-air-cooler-fan/,https://btechcustoms.com/wp-content/uploads/2024/07/BE-QUIET-DARK-ROCK-4.png
50,Brother DCP-T420W- Wireless All in One Printer,8950,5,https://btechcustoms.com/product/brother-dcp-t420w--wireless-all-in-one-printer/,https://btechcustoms.com/wp-content/uploads/2024/11/BROTHER-DCP-T420W-3-IN-1-WIRELESS-PRINT.webp
51,Comfast CF-WU815N USB WiFi Dongle 150Mbps Driver-Free Wireless WiFi Adapter for Desktop and Laptop WiFi Receiver,250,5,https://btechcustoms.com/product/comfast-cf-wu815n-usb-wifi-dongle-150mbps-driver-free-wireless-wifi-adapter-for-desktop-and-laptop-wifi-receiver/,https://btechcustoms.com/wp-content/uploads/2024/08/COMFAST-WiFi-DONGLE.png
52,Cooler Master MasterLiquid ML360L ARGB V2 Liquid CPU Cooler (MLW-D36M-A18PA-R2),6300,5,https://btechcustoms.com/product/cooler-master-masterliquid-ml360l-argb-v2-liquid-cpu-cooler-mlw-d36m-a18pa-r2/,https://btechcustoms.com/wp-content/uploads/2024/07/COOLER-MASTER-ML360L.png
53,"Cooler Master MWE Gold 1050 V2 Fully Modular, 1050W, 80+ Gold Efficiency, Quiet 140mm FDB Fan, 2 EPS Connectors, High Temperature Resilience",10500,5,https://btechcustoms.com/product/cooler-master-mwe-gold-1050-v2-fully-modular-1050w-80-gold-efficiency-quiet-140mm-fdb-fan-2-eps-connectors-high-temperature-resilience/,https://btechcustoms.com/wp-content/uploads/2024/07/COOLER-MASTER-1050W-GOLD.png
54,Corsair CX Series CX650 650W 80+ Bronze ATX Power Supply,3700,5,https://btechcustoms.com/product/corsair-cx-series-cx650-650w-80-bronze-atx-power-supply/,https://btechcustoms.com/wp-content/uploads/2024/07/CORSAIR-CX650.png
55,Corsair CX Series CX750 750W 80+ Bronze ATX Power Supply,4200,5,https://btechcustoms.com/product/corsair-cx-series-cx750-750w-80-bronze-atx-power-supply/,https://btechcustoms.com/wp-content/uploads/2024/07/CORSAIR-750W-BRONZE.png
56,Corsair CX550 550 watts 80 Plus Bronze Power Supply,3200,5,https://btechcustoms.com/product/corsair-cx550-550-watts-80-plus-bronze-power-supply/,https://btechcustoms.com/wp-content/uploads/2024/07/CORSAIR-CX550.jpg
57,DarkFlash DLH 21 Luxury ITX PC Gaming Case (Black),4000,5,https://btechcustoms.com/product/darkflash-dlh-21-luxury-itx-pc-gaming-case-black/,https://btechcustoms.com/wp-content/uploads/2024/09/DARK-FLASH-DLH21-BLACK-MINI-ITX.png
